,Name,GLB ifmap(KiB),GLB filter(KiB),GLB psum(KiB),GLB total(KiB),MACs (G),GLB access (MiB),Dram access (MiB),n,e,r,q,p,t,m,rt,latency
172,Alexnet.conv3,3.515625,1.125,10.5625,15.203125,0.601915392,34.92041015625,1.31103515625,4,13,1,4,16,2,16,0,494644224.0
173,Alexnet.conv3,2.63671875,1.6875,10.5625,14.88671875,0.603193344,44.16455078125,1.31103515625,4,13,1,3,16,4,16,0,552803328.0
174,Alexnet.conv3,3.515625,0.5625,10.5625,14.640625,0.601915392,37.55712890625,1.31103515625,4,13,1,4,16,1,16,0,511233024.0
175,Alexnet.conv3,3.515625,0.5625,10.5625,14.640625,0.605749248,37.55712890625,1.31103515625,4,13,2,2,16,1,16,0,511233024.0
176,Alexnet.conv3,3.515625,0.5625,10.5625,14.640625,0.61341696,37.55712890625,1.31103515625,4,13,4,1,16,1,16,0,511233024.0
177,Alexnet.conv3,2.63671875,1.265625,10.5625,14.46484375,0.603193344,44.60400390625,1.31103515625,4,13,1,3,16,3,16,0,555568128.0
178,Alexnet.conv3,2.63671875,0.84375,10.5625,14.04296875,0.603193344,45.48291015625,1.31103515625,4,13,1,3,16,2,16,0,561097728.0
179,Alexnet.conv3,2.63671875,0.421875,10.5625,13.62109375,0.603193344,48.11962890625,1.31103515625,4,13,1,3,16,1,16,0,577686528.0
180,Alexnet.conv3,2.63671875,0.421875,10.5625,13.62109375,0.61341696,48.11962890625,1.31103515625,4,13,3,1,16,1,16,0,577686528.0
181,Alexnet.conv3,1.7578125,1.125,10.5625,13.4453125,0.605749248,65.28955078125,1.31103515625,4,13,1,2,16,4,16,0,685710336.0
